fish_ID,waterbody,TL_mm,phenotype,sex,genotype,d18O,Sr,lifeyear,s_index
BH-91571,Tributary,896,FW_resident,f,"",-6.44272949782994,2.54159329140461,7,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",,2.58773584905661,7,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",,2.26664570230608,8,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",,2.43767295597484,8,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",,2.53297693920336,9,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",,2.34643605870021,9,0.149408822711414
BH-91571,Tributary,896,FW_resident,f,"",,2.18111111111111,9,0.149408822711414
BH-91585,Tributary,815,FW_resident,f,1,-7.99737617938299,1.23666666666667,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.59656180766273,1.51666666666667,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.996180002411,1.56222222222222,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.80414348609383,1.28222222222222,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.58993082418021,1.40555555555556,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.07250364082991,1.80888888888889,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.66484279070838,2.03666666666667,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-4.93108655972174,1.91666666666667,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.01177176510052,2.00555555555556,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.52726279367195,2.38,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.47256308963042,2.60888888888889,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.00259356001343,2.75111111111111,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.09342871411428,2.09222222222222,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.71628386512191,1.79,1,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-8.71815999245333,2.11111111111111,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-9.14825816523535,2.00555555555556,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-9.12006178971662,2.00666666666667,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-9.24841108986247,2.10777777777778,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-9.03947788245482,2.00666666666667,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-8.70696605610672,1.70222222222222,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-8.1400128366503,1.74222222222222,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.85663303658549,1.89444444444444,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.57139133367052,1.74555555555556,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.72812838443508,1.66666666666667,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.91490343854953,1.74555555555556,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.88568719522504,1.72111111111111,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.85912760707676,2.00222222222222,2,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-7.65463866727782,1.89333333333333,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.42334623393823,1.83333333333333,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.27571830692832,1.92222222222222,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.00718640845743,1.87,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.57083615759305,1.85555555555556,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-4.81922647548277,2.49777777777778,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-3.83586800155797,2.70888888888889,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-4.5416012013337,2.23444444444444,3,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.29534598210156,2.11111111111111,4,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.91862371271547,2.27555555555556,4,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.13417527969738,2.90555555555556,4,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-5.5823903633828,3.24888888888889,4,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.19268277739562,2.44,4,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,-6.7588773061103,2.25222222222222,5,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,,2.99111111111111,5,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,,3.22666666666667,5,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,,2.84666666666667,5,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,,2.73777777777778,6,0.226956965533414
BH-91585,Tributary,815,FW_resident,f,1,,2.90555555555556,6,0.226956965533414
